time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,load_cell_main_force,l_over_d,main_battery_current,main_battery_voltage,steering_motor_torque,depower_motor_torque,kcu_motor_current,kcu_mppt_current,kcu_io_current,steering_motor_abs_pos,depower_motor_abs_pos,kite_velocity_abs,kite_est_vx,kite_est_vy,kite_est_vz,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_ax,kite_0_ay,kite_0_az,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_0_roll_rate,kite_0_pitch_rate,kite_0_yaw_rate,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,kite_2_vx,kite_2_vy,kite_2_vz,kite_2_ax,kite_2_ay,kite_2_az,kite_2_roll,kite_2_pitch,kite_2_yaw,kite_2_roll_rate,kite_2_pitch_rate,kite_2_yaw_rate,kite_3_vx,kite_3_vy,kite_3_vz,kite_3_ax,kite_3_ay,kite_3_az,kite_3_roll,kite_3_pitch,kite_3_yaw,kite_3_roll_rate,kite_3_pitch_rate,kite_3_yaw_rate,kite_u_av_batt,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_length,ground_tether_force,est_upwind_direction,est_wind_velocity,est_app_wind_kite,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570540100.2,2019-10-08,15:08:20.200,15.0,9.0,14.6599998474121,nan,9.16794,1.01213,46.412,0.27399999999999997,-0.14,0.642566,-0.179694,0.552357,217849.0,134114.0,12.0287,0.931876,11.7699,-2.3,11.6,-2.2,2.3,nan,nan,nan,21.2,-2.0,-65.8,nan,nan,nan,9.39219,-2.30785,2.2113400000000003,11.6911,7.156960000000001,3.96129,21.1406,12.9505,-73.3801,0.105094,0.171621,0.810613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,254.2,9.1,52.1701,4.427219999999999,8.3,-1.7115599999999997,210.74200000000002,102.846,4.44595,7.68503,17.0455,68.55,21.2813,241.549,1.28195,-0.0345766,251.988,0.751376,1.73452,-34.9189300537109,22.016416549682603,-35.0,22.0,478734.0,-3784.03,pp-riro,4.0,0.0,-1,-1
1570540100.3,2019-10-08,15:08:20.300,15.0,9.0,14.479999542236301,nan,8.54738,0.837132,46.43,0.257,-0.146,0.44647200000000004,-0.16446,0.565248,217879.0,134087.0,12.972999999999999,1.87096,12.5503,-2.7,12.6,-1.5,2.7,nan,nan,nan,22.9,-3.8,-60.7,nan,nan,nan,11.2913,-1.05645,3.01642,9.8554,6.17481,5.01598,25.035999999999998,10.6829,-62.4988,0.25404899999999997,0.09766960000000001,0.8269540000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,254.2,9.1,52.1701,4.427219999999999,8.3,-1.7076799999999999,210.657,102.71700000000001,4.44591,7.685230000000001,17.0188,68.3163,22.4213,241.34900000000002,1.28125,-0.0506449,251.831,0.86434,1.8203599999999998,-34.970123291015604,22.0025119781494,-35.0,22.0,478617.0,-2338.1,pp-riro,4.0,0.0,-1,-1
1570540100.4,2019-10-08,15:08:20.400,15.0,8.0,14.359999656677198,nan,8.26158,0.6047100000000001,46.449,0.306,-0.16899999999999998,0.260535,-0.11836600000000001,0.49024799999999996,217879.0,134084.0,13.8643,2.9765099999999998,13.1814,-3.1,13.5,-0.6,3.1,nan,nan,nan,24.4,-5.4,-55.8,nan,nan,nan,11.2913,-1.05645,3.01642,9.8554,6.17481,5.01598,25.035999999999998,10.6829,-62.4988,0.25404899999999997,0.09766960000000001,0.8269540000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,259.2,8.5,52.1701,4.427219999999999,8.3,-1.7087900000000003,210.487,98.6535,4.44589,7.68542,16.873,68.1703,23.9414,241.149,1.27969,-0.071242,251.74,0.9778879999999999,1.91468,-34.970123291015604,22.0009689331055,-35.0,22.0,478374.0,-2768.8,pp-riro,4.0,0.0,-1,-1
1570540100.5,2019-10-08,15:08:20.500,15.0,8.0,14.1700000762939,nan,7.4301,0.509397,46.4532,0.26899999999999996,0.0,0.192175,-0.0906317,0.43517,217880.0,134084.0,14.8206,3.98541,13.8389,-3.5,14.4,0.2,3.5,nan,nan,nan,26.0,-7.1,-50.8,nan,nan,nan,12.5708,0.149791,3.6469699999999996,7.604489999999999,8.34525,3.5901400000000003,27.6966,8.09506,-54.1303,0.171594,0.15565299999999999,0.932642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,259.2,8.5,52.1701,4.427219999999999,8.3,-1.72652,210.317,93.9644,4.445880000000001,7.68558,16.9054,68.1118,25.0814,240.949,1.2782,-0.0863201,251.644,1.08799,1.9877,-34.971832275390604,22.0009689331055,-35.0,22.0,477812.0,-5906.78,pp-riro,4.0,0.0,-1,-1
1570540100.6,2019-10-08,15:08:20.600,15.0,8.0,14.039999961853,nan,7.188389999999999,0.5371319999999999,46.4448,0.268,0.0,0.162878,-0.05195980000000001,0.463685,217893.0,134084.0,15.755999999999998,5.0644599999999995,14.3736,-4.0,15.2,1.1,4.0,nan,nan,nan,27.3,-9.0,-46.1,nan,nan,nan,13.7413,1.44651,4.25708,6.0951900000000006,11.0841,6.01743,30.0797,5.20803,-45.9283,0.21624000000000002,0.11425,0.941226,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,259.2,8.5,52.1701,4.427219999999999,8.3,-1.7608700000000002,210.12900000000002,93.8471,4.445869999999999,7.68575,16.9181,68.141,26.6015,240.649,1.2757,-0.105674,251.52,1.1982,2.06606,-34.9940185546875,22.0009689331055,-35.0,22.0,477170.0,-6429.78,pp-riro,4.0,0.0,-1,-1
1570540100.7,2019-10-08,15:08:20.700,15.0,9.0,13.9200000762939,nan,6.5709800000000005,0.535569,46.4775,0.268,0.0,0.147644,-0.0441473,0.44454499999999997,217893.0,134084.0,16.562,6.1873,14.689,-4.5,15.8,2.1,4.5,nan,nan,nan,28.7,-11.3,-41.3,nan,nan,nan,14.4296,2.3265,4.79171,4.9337800000000005,9.13182,3.88145,31.2461,3.09179,-40.478,0.159303,0.17253,0.94506,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,259.2,8.5,52.1701,4.427219999999999,8.3,-1.7996599999999998,209.959,96.2975,4.44586,7.685919999999999,16.8214,68.28699999999999,28.1215,240.24900000000002,1.27257,-0.124122,251.343,1.31126,2.1447599999999998,-34.9940185546875,22.0009689331055,-35.0,22.0,476516.0,-5814.49,pp-riro,4.0,0.0,-1,-1
1570540100.8,2019-10-08,15:08:20.800,15.0,9.0,13.8500003814697,nan,6.0282800000000005,0.52971,46.4363,0.278,0.0,0.137097,-0.0117255,0.422279,217893.0,134084.0,17.4413,7.406619999999999,14.9781,-5.0,16.4,3.2,5.0,nan,nan,nan,29.6,-13.4,-36.3,nan,nan,nan,14.7331,2.84275,5.00708,7.76519,10.7395,4.2314,31.6946,1.9162299999999999,-37.7732,0.13056199999999998,0.0824921,1.03019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,259.2,8.5,52.1701,4.427219999999999,8.3,-1.82792,209.77200000000002,95.6541,4.44585,7.6860800000000005,16.7644,68.5207,29.6416,239.94799999999998,1.26915,-0.141749,251.295,1.42562,2.2222,-34.9940185546875,22.0009689331055,-35.0,22.0,476026.0,-5383.79,pp-riro,4.0,0.0,-1,-1
1570540100.9,2019-10-08,15:08:20.900,15.0,9.0,13.789999961853,nan,5.61417,0.546507,46.4469,0.285,0.0,0.15116,0.00858705,0.41798199999999996,217893.0,134084.0,18.348,8.62621,15.2669,-5.4,17.0,4.3,5.4,nan,nan,nan,30.5,-15.7,-31.1,nan,nan,nan,15.2996,3.8027300000000004,5.5007,5.13146,10.9194,4.60073,32.5231,-0.394031,-32.2681,0.197053,0.21333400000000002,1.01745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,259.2,8.5,52.1701,4.427219999999999,8.3,-1.85507,209.602,92.5119,4.44583,7.6862,16.783,68.8419,31.5416,239.44799999999998,1.26451,-0.163069,251.137,1.54774,2.29586,-34.9940185546875,22.0009689331055,-35.0,22.0,475366.0,-6275.96,pp-riro,4.0,0.0,-1,-1
1570540101.0,2019-10-08,15:08:21.000,15.0,9.0,13.9200000762939,nan,5.131959999999999,0.535569,46.4649,0.28600000000000003,0.0,0.135535,0.00975892,0.39805999999999997,217893.0,134084.0,19.088,9.86273,15.2403,-5.9,17.3,5.5,5.9,nan,nan,nan,31.0,-17.6,-25.8,nan,nan,nan,15.2996,3.8027300000000004,5.5007,5.13146,10.9194,4.60073,32.5231,-0.394031,-32.2681,0.197053,0.21333400000000002,1.01745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,259.2,8.5,52.1701,4.427219999999999,8.1,-1.9243299999999999,209.312,92.4151,4.4458400000000005,7.68642,16.647000000000002,69.28,33.0617,239.048,1.26007,-0.178704,251.072,1.6627299999999998,2.37032,-34.9940185546875,22.0009689331055,-35.0,22.0,474165.0,-8491.0,pp-riro,4.0,0.0,-1,-1
1570540101.1,2019-10-08,15:08:21.100,15.0,9.0,13.979999542236301,nan,4.6972,0.567991,46.4596,0.247,0.0,0.117175,0.0109308,0.420716,217896.0,134084.0,19.9452,11.0294,15.3363,-6.4,17.7,6.6,6.4,nan,nan,nan,31.4,-19.7,-20.6,nan,nan,nan,15.9175,5.463369999999999,6.1592400000000005,1.60809,9.95463,5.8311,33.2969,-3.94622,-23.9963,0.148564,0.15825,0.998603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,259.2,8.5,52.1701,4.427219999999999,8.1,-1.9492599999999998,209.227,94.1757,4.44583,7.68658,16.7381,69.8349,34.9618,238.548,1.25441,-0.19759300000000002,251.007,1.77952,2.43665,-34.9991455078125,22.0009689331055,-35.0,22.0,473768.0,-7814.18,pp-riro,4.0,0.0,-1,-1
