time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570540219.6,2019-10-08,15:10:19.600,15.0,7.0,15.369999885559098,11.6,-2.7,2.5,19.2,-2.8,-62.9,10.3616,-2.4433,3.0167,10.2975,5.93261,3.90129,21.1686,11.2808,-67.1014,0.120729,0.139572,0.946219,239.5,5.4,52.1701,4.42719,5.5,-2.5244,109.682,4.42175,57.6265,7.600619999999999,238.042,1.3313,0.159497,245.035,0.624645,1.52579,-34.8404235839844,22.0092067718506,-35.0,22.0,539688.0,369.174,pp-riro,4,0,-1,-1
1570540219.7,2019-10-08,15:10:19.700,15.0,8.0,15.0799999237061,12.7,-1.8,2.9,20.9,-4.5,-57.6,11.8129,-1.16442,3.46701,9.59613,8.54226,4.37851,23.8955,9.37069,-58.347,0.288505,0.185222,1.01424,239.5,5.4,52.1701,4.42719,5.5,-2.47121,105.076,4.42172,57.3636,9.12067,237.842,1.3312700000000002,0.132995,244.831,0.750499,1.64073,-34.970123291015604,22.0009689331055,-35.0,22.0,539476.0,-2399.63,pp-riro,4,0,-1,-1
1570540219.8,2019-10-08,15:10:19.800,15.0,8.0,14.8999996185303,13.6,-0.7,3.2,22.5,-5.8,-52.4,12.673,-0.143449,3.82381,7.464339999999999,10.1231,5.44019,25.8372,7.767339999999999,-52.1985,0.114767,0.186589,0.987303,239.5,5.4,52.1701,4.42719,5.5,-2.45791,103.184,4.42168,57.1884,10.2607,237.642,1.33101,0.1131799999999999,244.641,0.866828,1.7483099999999998,-34.970123291015604,22.0009689331055,-35.0,22.0,539352.0,-2461.16,pp-riro,4,0,-1,-1
1570540219.9,2019-10-08,15:10:19.900,15.0,8.0,14.7799997329712,14.4,0.3,3.5,24.3,-7.5,-46.7,13.3755,0.89699,4.20775,7.87545,9.30197,3.95337,27.4369,6.07486,-46.5201,0.292887,0.162418,0.96516,239.5,5.4,52.1701,4.42719,5.5,-2.44904,99.6685,4.42164,57.13,11.4007,237.442,1.3302,0.0937779,244.484,0.992969,1.83846,-34.970123291015604,22.0009689331055,-35.0,22.0,539003.0,-3599.45,pp-riro,4,0,-1,-1
1570540220.0,2019-10-08,15:10:20.000,15.0,8.0,14.7200002670288,15.1,1.5,3.9,25.8,-9.1,-41.4,14.0994,1.95776,4.59002,7.21842,10.4386,2.64176,29.0811,4.1628300000000005,-40.6893,0.175206,0.160976,1.0545,239.5,5.4,52.1701,4.42719,5.3,-2.47287,96.2373,4.4216,57.1884,12.9208,237.142,1.3284200000000002,0.0685833,244.282,1.11762,1.94094,-34.9906158447266,22.0009689331055,-35.0,22.0,537982.0,-7321.95,pp-riro,4,0,-1,-1
1570540220.1,2019-10-08,15:10:20.100,15.0,8.0,14.6000003814697,15.7,2.8,4.3,27.0,-11.1,-36.1,14.425,2.47425,4.8064,5.97991,10.6808,7.03673,29.8298,3.25064,-37.7263,0.319271,0.19141,1.02694,239.5,5.4,52.1701,4.42719,5.3,-2.47952,96.1728,4.42156,57.3928,14.4409,236.842,1.3259299999999998,0.0443272,244.124,1.24285,2.04115,-34.9906158447266,22.0009689331055,-35.0,22.0,537549.0,-8060.3,pp-riro,4,0,-1,-1
1570540220.2,2019-10-08,15:10:20.200,15.0,9.0,14.4799995422363,16.2,4.1,4.8,28.2,-13.1,-30.9,14.7649,3.04324,5.0266,6.766139999999999,10.9,4.42793,30.434,2.24784,-34.7932,0.158504,0.229577,0.993406,239.5,5.4,52.1701,4.42719,5.3,-2.50556,94.961,4.421530000000001,57.6848,15.9609,236.542,1.32297,0.0209247,243.996,1.36531,2.13538,-34.9906158447266,22.0009689331055,-35.0,22.0,536772.0,-8860.17,pp-riro,4,0,-1,-1
1570540220.3,2019-10-08,15:10:20.300,15.0,9.0,14.289999961853,16.5,5.4,5.2,29.1,-15.1,-25.7,15.4091,4.87904,5.7256800000000005,3.92518,11.3802,4.14659,31.7551,-0.825475,-26.2929,0.0359204,0.187028,1.02395,239.5,5.4,52.1701,4.42719,5.3,-2.55709,90.2372,4.42149,58.0937,17.861,236.142,1.31889,-0.00737813,243.837,1.49234,2.23,-34.9974365234375,22.0009689331055,-35.0,22.0,535371.0,-11444.4,pp-riro,4,0,-1,-1
1570540220.4,2019-10-08,15:10:20.400,15.0,9.0,14.2299995422363,16.8,6.7,5.6,30.0,-16.8,-20.3,15.6697,6.1054,6.06179,2.62452,11.0467,5.60192,32.3755,-2.89508,-20.5929,0.000955551,0.2181449999999999,0.976673,248.7,6.0,52.1701,4.42719,5.3,-2.61028,90.4644,4.42148,58.6486,19.001,235.742,1.31501,-0.0223973,243.669,1.60755,2.30628,-34.9974365234375,22.0009689331055,-35.0,22.0,534138.0,-12705.7,pp-riro,4,0,-1,-1
1570540220.5,2019-10-08,15:10:20.500,15.0,9.0,14.2299995422363,17.1,7.9,6.0,30.4,-18.6,-15.0,15.8479,7.27977,6.40727,1.79945,10.4652,3.86169,32.8283,-4.73791,-14.8906,0.14337,0.262144,0.999417,248.7,6.0,52.1701,4.42719,5.3,-2.65627,94.9809,4.42149,59.3204,20.9011,235.341,1.30965,-0.0478621999999999,243.601,1.7310599999999998,2.38267,-34.9991455078125,22.0009689331055,-35.0,22.0,533000.0,-11290.6,pp-riro,4,0,-1,-1
